'sample #','col 0'
0,93
1,94
2,94
3,95
4,95
5,94
6,92
7,94
8,94
9,95
10,94
11,94
12,95
13,97
14,92
15,96
16,95
17,96
18,95
19,96
20,93
21,96
22,94
23,95
24,92
25,93
26,92
27,94
28,94
29,94
30,94
31,94
32,93
33,97
34,95
35,95
36,94
37,96
38,95
39,95
40,94
41,95
42,93
43,93
44,92
45,95
46,95
47,97
48,94
49,95
50,94
51,95
52,94
53,95
54,92
55,94
56,92
57,94
58,94
59,95
60,92
61,92
62,89
63,95
64,94
65,96
66,98
67,98
68,95
69,94
70,92
71,94
72,91
73,94
74,91
75,95
76,94
77,93
78,91
79,93
80,93
81,95
82,94
83,96
84,94
85,96
86,98
87,94
88,88
89,90
90,92
91,94
92,92
93,94
94,92
95,94
96,94
97,96
98,95
99,93
100,92
101,91
102,89
103,94
104,94
105,98
106,95
107,99
108,96
109,96
110,95
111,97
112,93
113,94
114,92
115,96
116,93
117,93
118,94
119,95
120,93
121,97
122,95
123,95
124,93
125,95
126,94
127,95
128,92
129,93
130,91
131,93
132,89
133,94
134,92
135,94
136,90
137,93
138,91
139,93
140,92
141,94
142,92
143,93
144,91
145,91
146,90
147,94
148,91
149,92
150,87
151,91
152,91
153,93
154,91
155,92
156,90
157,90
158,89
159,94
160,92
161,96
162,93
163,94
164,94
165,100
166,100
167,105
168,104
169,108
170,108
171,106
172,100
173,93
174,87
175,84
176,74
177,73
178,74
179,80
180,80
181,83
182,86
183,91
184,91
185,92
186,92
187,92
188,93
189,95
190,91
191,91
192,93
193,94
194,95
195,95
196,92
197,96
198,95
199,95
200,95
201,96
202,93
203,95
204,94
205,95
206,92
207,94
208,94
209,96
210,92
211,97
212,95
213,96
214,96
215,97
216,95
217,97
218,94
219,96
220,98
221,101
222,99
223,97
224,97
225,100
226,100
227,102
228,102
229,102
230,101
231,104
232,104
233,106
234,103
235,105
236,104
237,107
238,108
239,108
240,106
241,109
242,108
243,110
244,105
245,108
246,108
247,109
248,107
249,106
250,106
251,106
252,100
253,101
254,100
255,102
256,99
257,98
258,96
259,96
260,96
261,97
262,98
263,97
264,94
265,97
266,98
267,94
268,95
269,98
270,92
271,94
272,92
273,93
274,94
275,94
276,91
277,93
278,92
279,94
280,94
281,94
282,92
283,93
284,94
285,94
286,94
287,94
288,93
289,94
290,93
291,94
292,93
293,93
294,93
295,95
296,93
297,95
298,94
299,94
300,92
301,92
302,94
303,95
304,95
305,94
306,94
307,94
308,97
309,96
310,94
311,94
312,93
313,92
314,93
315,96
316,94
317,96
318,94
319,92
320,91
321,94
322,92
323,93
324,93
325,94
326,93
327,93
328,89
329,92
330,93
331,92
332,92
333,94
334,94
335,93
336,91
337,90
338,88
339,93
340,92
341,93
342,91
343,93
344,92
345,92
346,94
347,95
348,92
349,94
350,92
351,94
352,90
353,92
354,92
355,94
356,93
357,96
358,94
359,94
360,90
361,92
362,92
363,92
364,92
365,92
366,92
367,93
368,92
369,94
370,93
371,91
372,91
373,93
374,92
375,94
376,93
377,95
378,92
379,92
380,94
381,95
382,93
383,90
384,92
385,93
386,90
387,93
388,92
389,93
390,92
391,93
392,93
393,96
394,94
395,96
396,95
397,94
398,92
399,96
400,96
401,97
402,94
403,95
404,93
405,97
406,96
407,97
408,95
409,92
410,92
411,96
412,95
413,97
414,94
415,94
416,94
417,95
418,94
419,94
420,92
421,89
422,88
423,92
424,90
425,91
426,90
427,91
428,90
429,91
430,93
431,94
432,91
433,90
434,89
435,91
436,92
437,92
438,91
439,95
440,92
441,92
442,89
443,91
444,92
445,93
446,90
447,91
448,89
449,91
450,90
451,92
452,90
453,93
454,91
455,92
456,94
457,96
458,99
459,102
460,104
461,108
462,108
463,105
464,100
465,98
466,89
467,84
468,76
469,76
470,73
471,76
472,76
473,80
474,83
475,85
476,86
477,93
478,93
479,94
480,92
481,93
482,90
483,90
484,91
485,94
486,89
487,90
488,92
489,94
490,94
491,93
492,94
493,94
494,94
495,94
496,94
497,94
498,91
499,92
500,94
501,96
502,96
503,97
504,95
505,95
506,95
507,97
508,93
509,98
510,98
511,101
512,95
513,97
514,96
515,100
516,98
517,97
518,97
519,99
520,100
521,100
522,99
523,100
524,101
525,101
