'sample #','col 0'
0,138
1,148
2,146
3,149
4,135
5,127
6,111
7,101
8,97
9,99
10,97
11,98
12,95
13,94
14,92
15,93
16,93
17,93
18,89
19,92
20,91
21,93
22,89
23,94
24,91
25,94
26,92
27,93
28,90
29,92
30,89
31,96
32,94
33,94
34,91
35,93
36,89
37,93
38,91
39,92
40,92
41,94
42,92
43,94
44,92
45,94
46,93
47,95
48,91
49,94
50,91
51,94
52,95
53,96
54,93
55,97
56,96
57,96
58,96
59,97
60,95
61,98
62,97
63,99
64,98
65,99
66,94
67,101
68,101
69,105
70,104
71,104
72,101
73,103
74,102
75,104
76,101
77,104
78,104
79,108
80,104
81,107
82,104
83,105
84,102
85,103
86,101
87,101
88,98
89,101
90,98
91,98
92,95
93,97
94,95
95,98
96,93
97,95
98,89
99,93
100,90
101,94
102,90
103,95
104,93
105,92
106,92
107,93
108,89
109,92
110,92
111,94
112,90
113,94
114,92
115,95
116,91
117,93
118,93
119,94
120,92
121,94
122,91
123,96
124,93
125,96
126,91
127,94
128,91
129,95
130,91
131,93
132,90
133,95
134,94
135,97
136,93
137,96
138,96
139,95
140,93
141,96
142,94
143,95
144,93
145,94
146,93
147,95
148,94
149,95
150,93
151,93
152,92
153,94
154,91
155,95
156,91
157,94
158,91
159,93
160,90
161,93
162,93
163,95
164,93
165,96
166,92
167,93
168,91
169,92
170,91
171,95
172,92
173,95
174,85
175,96
176,91
177,98
178,90
179,98
180,92
181,97
182,92
183,97
184,88
185,96
186,91
187,98
188,92
189,97
190,92
191,96
192,91
193,96
194,92
195,97
196,92
197,96
198,92
199,98
200,93
201,97
202,92
203,95
204,93
205,98
206,93
207,98
208,92
209,96
210,91
211,97
212,91
213,95
214,90
215,92
216,83
217,90
218,89
219,97
220,89
221,94
222,87
223,94
224,89
225,95
226,88
227,93
228,89
229,93
230,88
231,93
232,89
233,94
234,89
235,93
236,90
237,94
238,89
239,92
240,86
241,87
242,84
243,92
244,87
245,93
246,96
247,101
248,111
249,130
250,126
251,147
252,145
253,148
254,144
255,133
256,95
257,125
258,91
259,95
260,96
261,101
262,90
263,100
264,92
265,94
266,91
267,94
268,87
269,93
270,89
271,95
272,89
273,91
274,88
275,94
276,93
277,95
278,92
279,95
280,90
281,94
282,89
283,95
284,90
285,97
286,90
287,95
288,90
289,95
290,93
291,94
292,92
293,96
294,90
295,97
296,91
297,97
298,92
299,98
300,93
301,101
302,96
303,97
304,94
305,98
306,94
307,100
308,95
309,100
310,97
311,101
312,95
313,102
314,97
315,102
316,101
317,105
318,101
319,107
320,101
321,104
322,103
323,106
324,102
325,107
326,103
327,107
328,103
329,107
330,102
331,107
332,102
333,105
334,102
335,104
336,99
337,105
338,99
339,104
340,96
341,99
342,95
343,99
344,95
345,98
346,93
347,97
348,91
349,94
350,89
351,94
352,87
353,93
354,90
355,91
356,87
357,91
358,91
359,93
360,88
361,92
362,88
363,93
364,88
365,93
366,87
367,90
368,86
369,90
370,87
371,91
372,86
373,92
374,87
375,89
376,85
377,88
378,82
379,93
380,89
381,94
382,88
383,92
384,87
385,90
386,88
387,91
388,87
389,91
390,86
391,91
392,87
393,91
394,86
395,89
396,84
397,89
398,84
399,90
400,87
401,92
402,84
403,93
404,87
405,90
406,88
407,92
408,86
409,91
410,87
411,92
412,87
413,90
414,86
415,90
416,85
417,88
418,86
419,90
420,86
421,91
422,86
423,90
424,86
425,89
426,86
427,92
428,89
429,93
430,85
431,90
432,86
433,90
434,84
435,86
436,87
437,92
438,86
439,90
440,88
441,92
442,87
443,90
444,82
445,88
446,85
447,92
448,86
449,90
450,86
451,92
452,87
453,91
454,87
455,92
456,87
457,93
458,88
459,94
460,88
461,92
462,89
463,94
464,90
465,92
466,87
467,88
468,84
469,91
470,85
471,90
472,85
473,87
474,84
475,85
476,82
477,85
478,84
479,89
480,85
481,88
482,86
483,88
484,85
485,87
486,83
487,87
488,84
489,87
490,85
491,87
492,82
493,83
494,80
495,82
496,78
497,83
498,82
499,93
500,96
501,119
502,107
503,135
504,138
505,133
506,145
507,146
508,99
509,124
510,97
511,91
512,92
513,96
514,88
515,95
516,89
517,89
518,86
519,88
520,84
521,89
522,86
523,87
524,82
525,85
526,85
527,90
528,83
529,87
530,85
531,87
532,85
533,89
534,85
535,92
536,86
537,89
538,85
539,88
540,84
541,91
542,89
