      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.504      126     (    0    0    0
    0:00.540      135     p    0    0    0
    0:00.580      145     )    0    0    0
    0:00.640      160     (    0    0    1
    0:00.708      177     N    0    0    0
    0:00.748      187     )    0    0    1
    0:00.904      226     (    0    0    2
    0:00.988      247     t    0    0    0
    0:01.112      278     )    0    0    2
    0:01.544      386     (    0    0    0
    0:01.576      394     p    0    0    0
    0:01.616      404     )    0    0    0
    0:01.672      418     (    0    0    1
    0:01.712      428     N    0    0    0
    0:01.772      443     )    0    0    1
    0:01.924      481     (    0    0    2
    0:02.024      506     t    0    0    0
    0:02.124      531     )    0    0    2
