      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.925      333     (    0    0    0
    0:00.958      345     p    0    0    0
    0:01.017      366     )    0    0    0
    0:01.067      384     (    0    0    1
    0:01.100      396     N    0    0    0
    0:01.125      405     )    0    0    1
    0:01.292      465     (    0    0    2
    0:01.383      498     t    0    0    0
    0:01.469      529     )    0    0    2
    0:01.794      646     (    0    0    0
    0:01.825      657     p    0    0    0
    0:01.889      680     )    0    0    0
    0:01.942      699     (    0    0    1
    0:01.975      711     N    0    0    0
    0:02.000      720     )    0    0    1
    0:02.167      780     (    0    0    2
    0:02.261      814     t    0    0    0
    0:02.347      845     )    0    0    2
    0:02.686      967     (    0    0    0
    0:02.722      980     p    0    0    0
    0:02.781     1001     )    0    0    0
    0:02.833     1020     (    0    0    1
    0:02.867     1032     N    0    0    0
    0:02.892     1041     )    0    0    1
    0:03.075     1107     (    0    0    2
    0:03.169     1141     t    0    0    0
    0:03.253     1171     )    0    0    2
    0:03.619     1303     (    0    0    0
    0:03.653     1315     p    0    0    0
    0:03.708     1335     )    0    0    0
    0:03.767     1356     (    0    0    1
    0:03.800     1368     N    0    0    0
    0:03.825     1377     )    0    0    1
    0:04.003     1441     (    0    0    2
    0:04.111     1480     t    0    0    0
    0:04.197     1511     )    0    0    2
    0:04.569     1645     (    0    0    0
    0:04.606     1658     p    0    0    0
    0:04.667     1680     )    0    0    0
    0:04.719     1699     (    0    0    1
    0:04.756     1712     N    0    0    0
    0:04.778     1720     )    0    0    1
    0:04.972     1790     (    0    0    2
    0:05.069     1825     t    0    0    0
    0:05.144     1852     )    0    0    2
    0:05.469     1969     (    0    0    0
    0:05.511     1984     p    0    0    0
    0:05.558     2001     )    0    0    0
    0:05.619     2023     (    0    0    1
    0:05.656     2036     N    0    0    0
    0:05.678     2044     )    0    0    1
    0:05.858     2109     (    0    0    2
    0:05.950     2142     t    0    0    0
    0:06.025     2169     )    0    0    2
    0:06.353     2287     (    0    0    0
    0:06.386     2299     p    0    0    0
    0:06.450     2322     )    0    0    0
    0:06.492     2337     (    0    0    1
    0:06.525     2349     N    0    0    0
    0:06.550     2358     )    0    0    1
    0:06.722     2420     (    0    0    2
    0:06.814     2453     t    0    0    0
    0:06.903     2485     )    0    0    2
    0:07.222     2600     (    0    0    0
    0:07.253     2611     p    0    0    0
    0:07.308     2631     )    0    0    0
    0:07.361     2650     (    0    0    1
    0:07.392     2661     N    0    0    0
    0:07.419     2671     )    0    0    1
    0:07.608     2739     (    0    0    2
    0:07.692     2769     t    0    0    5
    0:07.967     2868     t    0    0    5
    0:07.992     2877     )    0    0    2
    0:08.083     2910     (    0    0    0
    0:08.119     2923     p    0    0    0
    0:08.167     2940     )    0    0    0
    0:08.222     2960     (    0    0    1
    0:08.256     2972     N    0    0    0
    0:08.281     2981     )    0    0    1
    0:08.456     3044     (    0    0    2
    0:08.561     3082     t    0    0    0
    0:08.628     3106     )    0    0    2
    0:08.986     3235     (    0    0    0
    0:09.019     3247     p    0    0    0
    0:09.075     3267     )    0    0    0
    0:09.136     3289     (    0    0    1
    0:09.169     3301     N    0    0    0
    0:09.194     3310     )    0    0    1
    0:09.389     3380     (    0    0    2
    0:09.489     3416     t    0    0    0
    0:09.575     3447     )    0    0    2
    0:09.903     3565     (    0    0    0
    0:09.933     3576     p    0    0    0
    0:09.994     3598     )    0    0    0
    0:10.050     3618     (    0    0    1
    0:10.083     3630     N    0    0    0
    0:10.111     3640     )    0    0    1
    0:10.286     3703     (    0    0    2
    0:10.389     3740     t    0    0    0
    0:10.467     3768     )    0    0    2
    0:10.825     3897     (    0    0    0
    0:10.858     3909     p    0    0    0
    0:10.914     3929     )    0    0    0
    0:10.967     3948     (    0    0    1
    0:11.000     3960     N    0    0    0
    0:11.028     3970     )    0    0    1
    0:11.203     4033     (    0    0    2
    0:11.292     4065     t    0    0    0
    0:11.369     4093     )    0    0    2
    0:11.725     4221     (    0    0    0
    0:11.758     4233     p    0    0    0
    0:11.808     4251     )    0    0    0
    0:11.864     4271     (    0    0    1
    0:11.897     4283     N    0    0    0
    0:11.933     4296     )    0    0    1
    0:12.108     4359     (    0    0    2
    0:12.194     4390     t    0    0    0
    0:12.281     4421     )    0    0    2
    0:12.628     4546     (    0    0    0
    0:12.661     4558     p    0    0    0
    0:12.714     4577     )    0    0    0
    0:12.772     4598     (    0    0    1
    0:12.803     4609     N    0    0    0
    0:12.839     4622     )    0    0    1
    0:12.992     4677     (    0    0    2
    0:13.089     4712     t    0    0    0
    0:13.172     4742     )    0    0    2
    0:13.517     4866     (    0    0    0
    0:13.547     4877     p    0    0    0
    0:13.603     4897     )    0    0    0
    0:13.656     4916     (    0    0    1
    0:13.689     4928     N    0    0    0
    0:13.722     4940     )    0    0    1
    0:13.764     4955     (    0    0    2
    0:13.844     4984     t    0    0    4
    0:13.972     5030     t    0    0    4
    0:14.053     5059     )    0    0    2
    0:14.375     5175     (    0    0    0
    0:14.411     5188     p    0    0    0
    0:14.467     5208     )    0    0    0
    0:14.525     5229     (    0    0    1
    0:14.556     5240     N    0    0    0
    0:14.589     5252     )    0    0    1
    0:14.747     5309     (    0    0    2
    0:14.844     5344     t    0    0    0
    0:14.936     5377     )    0    0    2
    0:15.286     5503     (    0    0    0
    0:15.319     5515     p    0    0    0
    0:15.378     5536     )    0    0    0
    0:15.433     5556     (    0    0    1
    0:15.467     5568     N    0    0    0
    0:15.508     5583     )    0    0    1
    0:15.664     5639     (    0    0    2
    0:15.767     5676     t    0    0    0
    0:15.842     5703     )    0    0    2
    0:16.194     5830     (    0    0    0
    0:16.228     5842     p    0    0    0
    0:16.292     5865     )    0    0    0
    0:16.350     5886     (    0    0    1
    0:16.383     5898     N    0    0    0
    0:16.411     5908     )    0    0    1
    0:16.589     5972     (    0    0    2
    0:16.694     6010     t    0    0    5
    0:16.783     6042     t    0    0    5
    0:16.886     6079     )    0    0    2
    0:17.103     6157     (    0    0    0
    0:17.136     6169     p    0    0    0
    0:17.194     6190     )    0    0    0
    0:17.253     6211     (    0    0    1
    0:17.283     6222     N    0    0    0
    0:17.319     6235     )    0    0    1
    0:17.478     6292     (    0    0    2
    0:17.581     6329     t    0    0    0
    0:17.653     6355     )    0    0    2
    0:17.961     6466     (    0    0    0
    0:17.997     6479     p    0    0    0
    0:18.053     6499     )    0    0    0
    0:18.100     6516     (    0    0    1
    0:18.131     6527     N    0    0    0
    0:18.169     6541     )    0    0    1
    0:18.325     6597     (    0    0    2
    0:18.422     6632     t    0    0    0
    0:18.497     6659     )    0    0    2
    0:18.803     6769     (    0    0    0
    0:18.836     6781     p    0    0    0
    0:18.894     6802     )    0    0    0
    0:18.939     6818     (    0    0    1
    0:18.972     6830     N    0    0    0
    0:19.011     6844     )    0    0    1
    0:19.167     6900     (    0    0    2
    0:19.264     6935     t    0    0    0
    0:19.336     6961     )    0    0    2
    0:19.661     7078     (    0    0    0
    0:19.694     7090     p    0    0    0
    0:19.753     7111     )    0    0    0
    0:19.808     7131     (    0    0    1
    0:19.839     7142     N    0    0    0
    0:19.878     7156     )    0    0    1
    0:20.042     7215     (    0    0    2
    0:20.142     7251     t    0    0    0
    0:20.217     7278     )    0    0    2
    0:20.550     7398     (    0    0    0
    0:20.589     7412     p    0    0    0
    0:20.644     7432     )    0    0    0
    0:20.697     7451     (    0    0    1
    0:20.728     7462     N    0    0    0
    0:20.767     7476     )    0    0    1
    0:20.925     7533     (    0    0    2
    0:21.031     7571     t    0    0    0
    0:21.114     7601     )    0    0    2
    0:21.450     7722     (    0    0    0
    0:21.486     7735     p    0    0    0
    0:21.539     7754     )    0    0    0
    0:21.594     7774     (    0    0    1
    0:21.625     7785     N    0    0    0
    0:21.667     7800     )    0    0    1
    0:21.828     7858     (    0    0    2
    0:21.925     7893     t    0    0    0
    0:22.006     7922     )    0    0    2
    0:22.339     8042     (    0    0    0
    0:22.372     8054     p    0    0    0
    0:22.428     8074     )    0    0    0
    0:22.483     8094     (    0    0    1
    0:22.514     8105     N    0    0    0
    0:22.542     8115     )    0    0    1
    0:22.711     8176     (    0    0    2
    0:22.811     8212     t    0    0    0
    0:22.883     8238     )    0    0    2
    0:23.192     8349     (    0    0    0
    0:23.225     8361     p    0    0    0
    0:23.286     8383     )    0    0    0
    0:23.339     8402     (    0    0    1
    0:23.372     8414     N    0    0    0
    0:23.397     8423     )    0    0    1
    0:23.561     8482     (    0    0    2
    0:23.653     8515     t    0    0    0
    0:23.736     8545     )    0    0    2
    0:24.053     8659     (    0    0    0
    0:24.086     8671     p    0    0    0
    0:24.147     8693     )    0    0    0
    0:24.194     8710     (    0    0    1
    0:24.225     8721     N    0    0    0
    0:24.264     8735     )    0    0    1
    0:24.417     8790     (    0    0    2
    0:24.511     8824     t    0    0    0
    0:24.589     8852     )    0    0    2
    0:24.894     8962     (    0    0    0
    0:24.931     8975     p    0    0    0
    0:24.992     8997     )    0    0    0
    0:25.036     9013     (    0    0    1
    0:25.069     9025     N    0    0    0
    0:25.106     9038     )    0    0    1
    0:25.267     9096     (    0    0    2
    0:25.358     9129     t    0    0    0
    0:25.436     9157     )    0    0    2
    0:25.714     9257     (    0    0    0
    0:25.753     9271     p    0    0    0
    0:25.808     9291     )    0    0    0
    0:25.858     9309     (    0    0    1
    0:25.889     9320     N    0    0    0
    0:25.925     9333     )    0    0    1
    0:26.094     9394     (    0    0    2
    0:26.186     9427     t    0    0    0
    0:26.261     9454     )    0    0    2
    0:26.567     9564     (    0    0    0
    0:26.606     9578     p    0    0    0
    0:26.656     9596     )    0    0    0
    0:26.711     9616     (    0    0    1
    0:26.744     9628     N    0    0    0
    0:26.778     9640     )    0    0    1
    0:26.956     9704     (    0    0    2
    0:27.044     9736     t    0    0    0
    0:27.133     9768     )    0    0    2
    0:27.461     9886     (    0    0    0
    0:27.497     9899     p    0    0    0
    0:27.547     9917     )    0    0    0
    0:27.611     9940     (    0    0    1
    0:27.647     9953     N    0    0    0
    0:27.672     9962     )    0    0    1
    0:27.831    10019     (    0    0    2
    0:27.967    10068     t    0    0    5
    0:28.097    10115     t    0    0    5
    0:28.144    10132     )    0    0    2
    0:28.381    10217     (    0    0    0
    0:28.414    10229     p    0    0    0
    0:28.464    10247     )    0    0    0
    0:28.522    10268     (    0    0    1
    0:28.558    10281     N    0    0    0
    0:28.581    10289     )    0    0    1
    0:28.756    10352     (    0    0    2
    0:28.864    10391     t    0    0    0
    0:28.947    10421     )    0    0    2
    0:29.247    10529     (    0    0    0
    0:29.278    10540     p    0    0    0
    0:29.344    10564     )    0    0    0
    0:29.383    10578     (    0    0    1
    0:29.414    10589     N    0    0    0
    0:29.442    10599     )    0    0    1
    0:29.617    10662     (    0    0    2
    0:29.694    10690     t    0    0    0
    0:29.769    10717     )    0    0    2
    0:30.081    10829     (    0    0    0
    0:30.122    10844     p    0    0    0
    0:30.175    10863     )    0    0    0
    0:30.222    10880     (    0    0    1
    0:30.253    10891     N    0    0    0
    0:30.278    10900     )    0    0    1
    0:30.456    10964     (    0    0    2
    0:30.539    10994     t    0    0    0
    0:30.617    11022     )    0    0    2
    0:30.897    11123     (    0    0    0
    0:30.933    11136     p    0    0    0
    0:30.992    11157     )    0    0    0
    0:31.036    11173     (    0    0    1
    0:31.067    11184     N    0    0    0
    0:31.094    11194     )    0    0    1
    0:31.292    11265     (    0    0    2
    0:31.350    11286     t    0    0    5
    0:31.486    11335     t    0    0    5
    0:31.508    11343     )    0    0    2
    0:31.692    11409     (    0    0    0
    0:31.719    11419     p    0    0    0
    0:31.764    11435     )    0    0    0
    0:31.828    11458     (    0    0    1
    0:31.861    11470     N    0    0    0
    0:31.928    11494     )    0    0    1
    0:32.050    11538     (    0    0    2
    0:32.144    11572     t    0    0    0
    0:32.219    11599     )    0    0    2
    0:32.483    11694     (    0    0    0
    0:32.514    11705     p    0    0    0
    0:32.569    11725     )    0    0    0
    0:32.631    11747     (    0    0    1
    0:32.664    11759     N    0    0    0
    0:32.692    11769     )    0    0    1
    0:32.881    11837     (    0    0    2
    0:32.967    11868     t    0    0    0
    0:33.050    11898     )    0    0    2
    0:33.292    11985     (    0    0    0
    0:33.328    11998     p    0    0    0
    0:33.372    12014     )    0    0    0
    0:33.433    12036     (    0    0    1
    0:33.469    12049     N    0    0    0
    0:33.500    12060     )    0    0    1
    0:33.711    12136     (    0    0    2
    0:33.778    12160     t    0    0    0
    0:33.867    12192     )    0    0    2
    0:34.072    12266     (    0    0    0
    0:34.128    12286     p    0    0    0
    0:34.181    12305     )    0    0    0
    0:34.236    12325     (    0    0    1
    0:34.272    12338     N    0    0    0
    0:34.297    12347     )    0    0    1
    0:34.478    12412     (    0    0    2
    0:34.564    12443     t    0    0    0
    0:34.633    12468     )    0    0    2
    0:34.881    12557     (    0    0    0
    0:34.917    12570     p    0    0    0
    0:34.975    12591     )    0    0    0
    0:35.025    12609     (    0    0    1
    0:35.058    12621     N    0    0    0
    0:35.083    12630     )    0    0    1
    0:35.269    12697     (    0    0    2
    0:35.361    12730     t    0    0    0
    0:35.439    12758     )    0    0    2
    0:35.683    12846     (    0    0    0
    0:35.719    12859     p    0    0    0
    0:35.783    12882     )    0    0    0
    0:35.828    12898     (    0    0    1
    0:35.864    12911     N    0    0    0
    0:35.886    12919     )    0    0    1
    0:36.053    12979     (    0    0    2
    0:36.142    13011     t    0    0    0
    0:36.208    13035     )    0    0    2
    0:36.447    13121     (    0    0    0
    0:36.483    13134     p    0    0    0
    0:36.544    13156     )    0    0    0
    0:36.586    13171     (    0    0    1
    0:36.619    13183     N    0    0    0
    0:36.644    13192     )    0    0    1
    0:36.808    13251     (    0    0    2
    0:36.900    13284     t    0    0    0
    0:36.967    13308     )    0    0    2
    0:37.214    13397     (    0    0    0
    0:37.247    13409     p    0    0    0
    0:37.300    13428     )    0    0    0
    0:37.347    13445     (    0    0    1
    0:37.381    13457     N    0    0    0
    0:37.406    13466     )    0    0    1
    0:37.581    13529     (    0    0    2
    0:37.672    13562     t    0    0    0
    0:37.756    13592     )    0    0    2
